stop_id,stop_name,latitude,longitude
1,Shivranjani,23.024304,72.531295
2,Jhansi Ki Rani,23.023029,72.536330
3,Nehrunagar,23.022343,72.542840
4,Manekbaug,23.017430,72.544266
5,Dharnidhar Derasar,23.008410,72.548661
6,Anjali,23.005732,72.555818
7,Chandranagar,22.999753,72.558099
8,Khodiyarnagar,,
9,Danilimda Char Rasta,,
10,Vaikunth Dham Mandir,,
11,Swaminarayan College,23.045318,72.533760
12,Kankariya Telephone Exchange,,
13,Maninagar,22.998660,72.611401
14,Swaminarayan Mandir,23.045009,72.533786
15,Jawahar Chowk,22.995137,72.605099
16,Bhairavnath Road,,
17,Mira Cinema Char Rasta,,
18,Jodhpur Char Rasta,,
19,Star Bazaar,23.016848,72.515504
20,ISRO,23.027390,72.517572
21,Ramdevnagar,23.021644,72.512197
22,ISKCON Cross Road,23.027153,72.508525
23,ISKCON Mandir,23.027486,72.504945
24,Antariksh Colony,23.027763,72.500916
25,Jayantilal Park,,
26,Swagat Bungalow,,
27,Ambli Gam,23.026455,72.482187
28,Bopal Approach,,
29,Bhavya Park,,
30,Ghuma Gam,,
31,Samarpan Bungalows,,
32,Sterling City,23.032322,72.469152
33,Bopal Gam,23.034011,72.464107
34,Little Wings,23.032076,72.459613
35,Ashok Vatika,23.027937,72.495703
36,Ghodasar,22.991243,72.616423
37,R.T.O Circle,,
38,Ranip Cross Road,,
39,Bhavsar Hostel,23.067450,72.568993
40,Akhbarnagar,23.066546,72.559538
41,Pragatinagar,23.064659,72.556160
42,Shastrinagar,23.062307,72.553041
43,Jaimangal,,
44,Sola Cross Road,23.052723,72.546802
45,Shree Valinath Chowk,,
46,Memnagar,23.051697,72.535169
47,University,23.037307,72.544748
48,Andhjan Mandal,,
49,Himmatlal Park,23.029753,72.532414
50,Shivranjani,23.024304,72.531295
51,Jhansi Ki Rani,23.023029,72.536330
52,Nehrunagar,23.022343,72.542840
53,Manekbaug,23.017430,72.544266
54,Dharnidhar Derasar,23.008410,72.548661
55,Anjali,23.005732,72.555818
56,Chandranagar,22.999753,72.558099
57,Khodiyarnagar,,
58,Danilimda Char Rasta,,
59,Danilimda Road,22.998758,72.583418
60,Chhipa Society,,
61,Chandola Lake,22.986953,72.586964
62,BRTS Workshop,,
63,Kashiram Textiles,,
64,Narol,22.948393,72.597785
65,Mukesh Industries,,
66,Isanpur,22.981130,72.601295
67,Jashodanagar Char Rasta,,
68,Express Highway Junction,,
69,CTM Cross Road,,
70,Purvdeep Society,,
71,Jogeshwari Society,,
72,Rabari Colony,23.003119,72.633568
73,Sabarmati Power House,,
74,Rathi Apartment,,
75,Sabarmati Municipal Swimming pool,,
76,Sabarmati Police Station,23.085306,72.591621
77,Motera Cross Road,,
78,Visat -Gandhinagar Junction,,
79,ONGC Avani Bhavan,,
80,Jantanagar,23.008022,72.630334
81,Shiv Shaktinagar,,
82,Chandkheda Gam,23.110334,72.563771
83,Shivranjani,23.024304,72.531295
84,Jhansi Ki Rani,23.023029,72.536330
85,Nehrunagar,23.022343,72.542840
86,Manekbaug,23.017430,72.544266
87,Dharnidhar Derasar,23.008410,72.548661
88,Anjali,23.005732,72.555818
89,Chandranagar,22.999753,72.558099
90,Khodiyarnagar,,
91,Danilimda Char Rasta,,
92,Danilimda Road,22.998758,72.583418
93,Chhipa Society,,
94,Jodhpur Char Rasta,,
95,Star Bazaar,23.016848,72.515504
96,ISRO,23.027390,72.517572
97,Ramdevnagar,23.021644,72.512197
98,ISKCON Cross Road,23.027153,72.508525
99,ISKCON Mandir,23.027486,72.504945
100,Antariksh Colony,23.027763,72.500916
101,Jayantilal Park,,
102,Swagat Bungalow,,
103,Ambli Gam,23.026455,72.482187
104,Bopal Approach,,
105,Bhavya Park,,
106,Ghuma Gam,,
107,Samarpan Bungalows,,
108,Sterling City,23.032322,72.469152
109,Bopal Gam,23.034011,72.464107
110,Little Wings,23.032076,72.459613
111,Ashok Vatika,23.027937,72.495703
112,Jaimangal,,
113,Sola Cross Road,23.052723,72.546802
114,Shree Valinath Chowk,,
